Employee Name,EmpID,Salary,Position,State,Birthdate,Age,Gender,MaritalStatus,CitizenDesc,HireDate,TerminDate,TermReason,EmploymentStatus,Department,ManagerName,RecruitmentSource,PerformanceScore,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount,LastPerformanceReview_Date,DaysLateLast30,Absences
Jason Salter,10229,88527,Data Analyst ,GE,17.12.92,31,M ,Divorced,Switzerland,1.5.20,31.10.20,hours,Voluntarily Terminated,IT/IS,Simon Roup,LinkedIn,Fully Meets,4.2,3,5,20.4.19,0,2
Kamrin Sander,10169,56147,Production Technician I,GE,7.10.93,30,F,Married,Switzerland,29.9.19,,N/A-StillEmployed,Active,Production,Elijiah Gray,LinkedIn,Fully Meets,3.51,3,0,18.2.23,0,2
Nori Sewkumar,10071,50923,Production Technician I,GE,3.10.80,43,F,Single,Switzerland,30.9.18,,N/A-StillEmployed,Active,Production,Webster Butler,Google Search,Fully Meets,5,5,0,2.6.23,0,14
Anita Shepard,10179,50750,Network Engineer,GE,14.4.86,37,F,Married,Switzerland,30.9.19,,N/A-StillEmployed,Active,IT/IS,Peter Monroe,LinkedIn,Fully Meets,3.31,3,6,1.7.23,0,7
Seffi Shields,10091,52087,Production Technician I,GE,24.8.90,33,F,Married,Switzerland,19.8.18,,N/A-StillEmployed,Active,Production,Amy Dunn,LinkedIn,Fully Meets,4.81,4,0,15.2.23,0,15
Kramer Simard,10178,87826,Data Analyst,GE,2.8.75,48,M ,Married,Switzerland,1.5.20,,N/A-StillEmployed,Active,IT/IS,Simon Roup,Employee Referral,Fully Meets,3.32,3,7,14.1.23,0,16
Nan Singh,10039,51920,Administrative Assistant,ZH,19.5.93,30,F,Single,Switzerland,5.1.20,,N/A-StillEmployed,Active,Admin Offices,Brandon R. LeBlanc,Website,Fully Meets,5,3,5,15.1.23,0,2
Constance Sloan,10095,63878,Production Technician II,GE,25.11.92,31,F,Single,Switzerland,26.10.14,4.8.20,maternity leave - did not return,Voluntarily Terminated,Production,Michael Albert,CareerBuilder,Fully Meets,4.68,4,0,4.2.19,0,20
Joe Smith,10027,60656,Production Technician II,GE,30.10.68,55,M ,Single,Switzerland,29.9.19,,N/A-StillEmployed,Active,Production,Elijiah Gray,Indeed,Exceeds,4.3,3,0,28.1.23,0,4
John Smith,10291,72992,Sales Manager,VD,16.8.89,34,M ,Divorced,Switzerland,18.5.19,,N/A-StillEmployed,Active,Sales,Debra Houlihan,Diversity Job Fair,Needs Improvement,2.4,4,0,16.1.23,2,16
Leigh Ann Smith,10153,55000,Administrative Assistant,ZH,14.6.92,31,F,Married,Switzerland,26.9.16,25.9.18,career change,Voluntarily Terminated,Admin Offices,Brandon R. LeBlanc,Diversity Job Fair,Fully Meets,3.8,4,4,15.8.17,0,17
Sade Smith,10157,58939,Production Technician I,GE,2.2.70,53,F,Single,Switzerland,11.11.18,,N/A-StillEmployed,Active,Production,Ketsia Liebig,Employee Referral,Fully Meets,3.73,3,0,24.1.23,0,16
Julia Soto,10119,66593,IT Support,GE,3.12.78,45,F,Married,Switzerland,6.10.16,,N/A-StillEmployed,Active,IT/IS,Eric Dougall,LinkedIn,Fully Meets,4.3,3,5,2.8.23,0,19
Keyser Soze,10180,87565,Sr. Network Engineer,GE,2.9.88,35,M ,Married,Switzerland,30.6.21,,N/A-StillEmployed,Active,IT/IS,Peter Monroe,LinkedIn,Fully Meets,3.27,4,5,14.1.23,0,13
Taylor Sparks,10302,64021,Production Technician I,GE,20.7.73,50,F,Married,Switzerland,20.2.17,,N/A-StillEmployed,Active,Production,Brannon Miller,Indeed,PIP,2.4,2,1,25.2.23,6,20
Kelley Spirea,10090,65714,Production Manager,GE,30.9.80,43,F,Married,Switzerland,10.2.17,,N/A-StillEmployed,Active,Production,Janet King,LinkedIn,Fully Meets,4.83,5,0,14.2.23,0,15
Kristen Squatrito,10030,62425,Production Technician I,GE,26.3.78,45,F,Divorced,Switzerland,13.5.18,29.6.20,unhappy,Voluntarily Terminated,Production,David Stanley,LinkedIn,Exceeds,4.1,4,0,3.2.19,0,16
Barbara M Stanford,10278,47961,Production Technician I,GE,25.8.87,36,F,Divorced,Switzerland,1.10.16,,N/A-StillEmployed,Active,Production,Kissy Sullivan,Google Search,Fully Meets,4.1,4,0,2.7.23,0,9
Norman Stansfield,10307,58273,Area Sales Manager,VD,5.9.79,44,M ,Married,Switzerland,5.12.19,,N/A-StillEmployed,Active,Sales,Lynn Daneault,Website,PIP,1.81,2,0,17.1.23,3,5
Tyrone Steans,10147,63003,Accountant I,ZH,9.1.91,32,M ,Single,Switzerland,29.9.19,,N/A-StillEmployed,Active,Admin Offices,Brandon R. LeBlanc,Indeed,Fully Meets,3.9,5,5,18.1.23,0,9
Rick Stoica,10266,61355,Production Technician I,GE,14.3.90,33,M ,Married,Switzerland,17.2.19,,N/A-StillEmployed,Active,Production,Kelley Spirea,LinkedIn,Fully Meets,4.7,3,0,1.11.23,0,4
Caitrin Strong,10241,60120,Area Sales Manager,VD,5.12.94,29,F,Married,Switzerland,27.9.15,,N/A-StillEmployed,Active,Sales,John Smith,Indeed,Fully Meets,4.1,4,0,31.1.23,0,18
Kissy Sullivan,10158,63682,Production Manager,GE,28.3.83,40,F,Married,Switzerland,1.8.14,,N/A-StillEmployed,Active,Production,Janet King,Indeed,Fully Meets,3.73,4,0,24.1.23,0,12
Timothy Sullivan,10117,63025,Production Technician I,GE,10.7.87,36,M ,Married,Switzerland,1.5.20,,N/A-StillEmployed,Active,Production,Michael Albert,Google Search,Fully Meets,4.36,5,0,24.1.23,0,10
Barbara Sutwell,10209,59238,Production Technician I,GE,15.8.73,50,F,Single,Switzerland,14.5.17,,N/A-StillEmployed,Active,Production,Elijiah Gray,Indeed,Fully Meets,3.4,5,0,31.1.23,0,13
Andrew Szabo,10024,92989,Software Engineer,BE,5.6.88,35,M ,Single,Switzerland,7.7.19,,N/A-StillEmployed,Active,Software Engineering,Alex Sweetwater,LinkedIn,Exceeds,4.5,5,5,18.2.23,0,1
Biff Tannen,10173,90100,BI Developer,GE,24.10.92,31,M ,Married,Switzerland,20.4.22,,N/A-StillEmployed,Active,IT/IS,Brian Champaigne,Indeed,Fully Meets,3.4,3,6,1.2.23,0,14
Desiree Tavares,10221,60754,Production Technician I,GE,4.3.80,43,F,Married,Switzerland,27.4.14,4.1.18,Another position,Voluntarily Terminated,Production,Webster Butler,Diversity Job Fair,Fully Meets,4.5,5,0,15.2.16,0,11
Lenora Tejeda,10146,72202,Production Technician II,GE,24.5.58,65,F,Married,Switzerland,16.5.16,7.8.22,Another position,Voluntarily Terminated,Production,Elijiah Gray,Google Search,Fully Meets,3.93,3,0,18.4.21,0,3
Sharlene Terry,10161,58370,Area Sales Manager,VD,5.7.70,53,F,Single,Switzerland,29.9.19,,N/A-StillEmployed,Active,Sales,Lynn Daneault,Indeed,Fully Meets,3.69,3,0,28.1.23,0,18
Sophia Theamstern,10141,48413,Production Technician I,GE,5.9.70,53,F,Single,Switzerland,7.5.16,9.5.21,return to school,Voluntarily Terminated,Production,Amy Dunn,Indeed,Fully Meets,3.98,4,0,3.2.20,0,1
Kenneth Thibaud,10268,67176,Production Technician II,GE,16.9.80,43,M ,Widowed,Switzerland,25.6.12,30.8.15,military,Voluntarily Terminated,Production,Webster Butler,Other,Fully Meets,4.1,4,0,14.7.14,0,15
Jeanette Tippett,10123,56339,Production Technician I,GE,6.5.72,51,F,Divorced,Switzerland,18.2.18,,N/A-StillEmployed,Active,Production,Brannon Miller,Indeed,Fully Meets,4.21,5,0,14.1.23,0,4
Jack Torrence,10013,64397,Area Sales Manager,VD,15.1.73,50,M ,Separated,Switzerland,1.9.11,,N/A-StillEmployed,Active,Sales,Lynn Daneault,Indeed,Exceeds,4.1,3,0,1.4.23,0,6
Mei Trang,10287,63025,Production Technician I,GE,16.5.88,35,F,Single,Switzerland,17.2.19,,N/A-StillEmployed,Active,Production,David Stanley,LinkedIn,Needs Improvement,2.44,5,0,2.11.23,4,18
Neville Tredinnick,10044,75281,Network Engineer,GE,5.5.93,30,M ,Married,Switzerland,1.5.20,2.12.21,medical issues,Voluntarily Terminated,IT/IS,Peter Monroe,CareerBuilder,Fully Meets,5,3,5,15.4.19,0,11
Edward TRUE,10102,100416,Software Engineer,BE,14.6.88,35,M ,Single,Switzerland,18.2.18,15.4.23,medical issues,Voluntarily Terminated,Software Engineering,Alex Sweetwater,Diversity Job Fair,Fully Meets,4.6,3,4,2.12.21,0,9
Cybil Trzeciak,10270,74813,Production Technician II,GE,15.3.90,33,F,Single,Switzerland,1.10.16,7.2.19,unhappy,Voluntarily Terminated,Production,Amy Dunn,LinkedIn,Fully Meets,4.4,3,0,1.5.18,0,5
Jumil Turpin,10045,76029,Network Engineer,GE,31.3.74,49,M ,Married,Switzerland,30.3.20,,N/A-StillEmployed,Active,IT/IS,Peter Monroe,Employee Referral,Fully Meets,5,4,7,14.1.23,0,8
Jackie Valentin,10205,57859,Area Sales Manager,VD,23.5.96,27,F,Married,Switzerland,7.5.16,,N/A-StillEmployed,Active,Sales,John Smith,Indeed,Fully Meets,2.81,3,0,17.1.23,0,16
Abdellah Veera,10014,58523,Production Technician I,GE,31.1.92,31,M ,Divorced,Switzerland,13.8.17,2.5.21,maternity leave - did not return,Voluntarily Terminated,Production,Kissy Sullivan,LinkedIn,Exceeds,4.5,5,0,2.1.20,0,15
Vincent Vega,10144,88976,Production Manager,GE,10.10.73,50,M ,Divorced,Switzerland,8.1.16,,N/A-StillEmployed,Active,Production,Janet King,Employee Referral,Fully Meets,3.93,3,0,27.2.23,0,19
Noah Villanueva,10253,55875,Area Sales Manager,VD,7.11.94,29,M ,Single,Switzerland,3.5.17,,N/A-StillEmployed,Active,Sales,John Smith,Website,Fully Meets,4.5,4,0,18.1.23,0,11
Lord Voldemort,10118,113999,Database Administrator,GE,8.7.91,32,M ,Married,Switzerland,16.2.20,22.2.22,"no-call, no-show",Terminated for Cause,IT/IS,Simon Roup,Employee Referral,Fully Meets,4.33,3,7,15.2.21,0,9
Colleen Volk,10022,49773,Production Technician I,GE,6.3.91,32,F,Married,Switzerland,26.9.16,2.8.21,gross misconduct,Terminated for Cause,Production,Kelley Spirea,Google Search,Exceeds,4.3,5,0,2.1.19,0,18
Anna Von Massenbach,10183,62068,Production Technician I,GE,4.6.90,33,F,Single,Switzerland,7.5.20,,N/A-StillEmployed,Active,Production,Michael Albert,LinkedIn,Fully Meets,3.21,3,0,29.1.23,0,7
Roger Walker,10190,66541,Production Technician II,GE,2.10.81,42,M ,Single,Switzerland,18.8.19,,N/A-StillEmployed,Active,Production,Ketsia Liebig,Employee Referral,Fully Meets,3.11,5,0,2.12.23,0,4
Courtney E Wallace,10274,80512,Production Manager,GE,14.11.60,63,F,Married,Switzerland,26.9.16,1.2.17,Another position,Voluntarily Terminated,Production,Janet King,Diversity Job Fair,Fully Meets,4.5,3,0,1.2.16,0,5
Theresa Wallace,10293,50274,Production Technician I,GE,8.2.85,38,F,Single,Switzerland,13.8.17,9.1.20,career change,Voluntarily Terminated,Production,Elijiah Gray,CareerBuilder,Needs Improvement,2.5,3,0,9.5.18,6,13
Charlie Wang,10172,84903,Senior BI Developer,GE,7.8.86,37,M ,Single,Switzerland,15.2.22,,N/A-StillEmployed,Active,IT/IS,Brian Champaigne,Indeed,Fully Meets,3.42,4,7,1.4.23,0,17
Sarah Warfield,10127,107226,Sr. Network Engineer,GE,5.2.83,40,F,Widowed,Switzerland,30.3.20,,N/A-StillEmployed,Active,IT/IS,Peter Monroe,Employee Referral,Fully Meets,4.2,4,8,2.5.23,0,7
Scott Whittier,10072,58371,Production Technician I,GE,24.5.92,31,M ,Single,Switzerland,1.10.16,15.5.19,hours,Voluntarily Terminated,Production,Webster Butler,LinkedIn,Fully Meets,5,5,0,15.5.18,0,11
Barry Wilber,10048,55140,Production Technician I,GE,9.9.70,53,M ,Married,Switzerland,16.5.16,9.7.20,unhappy,Voluntarily Terminated,Production,Amy Dunn,Website,Fully Meets,5,3,0,15.2.19,0,7
Annie Wilkes,10204,58062,Production Technician I,GE,30.7.88,35,F,Divorced,Switzerland,1.10.16,14.5.17,Another position,Voluntarily Terminated,Production,Ketsia Liebig,Google Search,Fully Meets,3.6,5,0,2.6.15,0,9
Jacquelyn Williams,10264,59728,Production Technician I,GE,10.2.74,49,F,Single,Switzerland,1.9.17,27.6.20,relocation out of area,Voluntarily Terminated,Production,Ketsia Liebig,Diversity Job Fair,Fully Meets,4.3,4,0,6.2.18,0,16
Jordan Winthrop,10033,70507,Production Technician II,GE,11.7.54,69,M ,Single,Switzerland,1.7.18,21.2.21,retiring,Voluntarily Terminated,Production,Brannon Miller,LinkedIn,Exceeds,5,3,0,19.1.20,0,7
Hang T Wolk,10174,60446,Production Technician II,GE,20.4.90,33,F,Single,Switzerland,29.9.19,,N/A-StillEmployed,Active,Production,David Stanley,LinkedIn,Fully Meets,3.4,4,0,21.2.23,0,14
Jason Woodson,10135,65893,Production Technician II,GE,5.11.90,33,M ,Single,Switzerland,7.7.19,,N/A-StillEmployed,Active,Production,Kissy Sullivan,LinkedIn,Fully Meets,4.07,4,0,28.2.23,0,13
Catherine Ybarra,10301,48513,Production Technician I,GE,5.4.87,36,F,Single,Switzerland,9.2.13,29.9.20,Another position,Voluntarily Terminated,Production,Brannon Miller,Google Search,PIP,3.2,2,0,9.2.19,5,4
Jennifer Zamora,10010,220450,CIO,GE,30.8.84,39,F,Single,Switzerland,4.10.15,,N/A-StillEmployed,Active,IT/IS,Janet King,Employee Referral,Exceeds,4.6,5,6,21.2.23,0,16
Julia Zhou,10043,89292,Data Analyst,GE,24.2.84,39,F,Single,Switzerland,30.3.20,,N/A-StillEmployed,Active,IT/IS,Simon Roup,Employee Referral,Fully Meets,5,3,5,2.1.23,0,11
Colleen Zima,10271,45046,Production Technician I,GE,17.8.83,40,F,Widowed,Switzerland,29.9.19,,N/A-StillEmployed,Active,Production,David Stanley,LinkedIn,Fully Meets,4.5,5,0,30.1.23,0,2
Emanuel Cruz,10312,45000,Production Technician I,GE,15.10.05,18,M ,Single,Switzerland,20.10.23,,N/A-StillEmployed,Active,Production,David Stanley,LinkedIn,Fully Meets,4.5,5,0,30.12.23,0,2
